Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,TractLOWI,LA1and10
1,6266,2281,37.4,32130.0,2771.0,1
1,2437,925,13.2,56681.0,1000.0,1
1,2218,935,15.3,96563.0,462.0,1
1,4484,1901,9.0,138996.0,766.0,0
1,2304,895,4.6,187250.0,181.0,0
1,4892,1334,9.7,105714.0,546.0,0
1,3487,1428,5.3,141587.0,332.0,0
1,4880,2350,17.2,64130.0,1762.0,1
1,5792,2497,6.4,156875.0,818.0,0
1,3448,1285,3.4,170000.0,181.0,0
1,6514,2493,11.3,97760.0,1309.0,1
1,2984,1111,2.4,160298.0,251.0,0
1,7367,2773,7.1,151198.0,860.0,1
1,4989,1814,31.4,28505.0,3523.0,1
1,5663,2358,8.9,81417.0,1435.0,1
1,2171,867,25.3,46094.0,777.0,0
1,7903,3117,13.1,60907.0,2306.0,1
1,10433,3650,8.8,94025.0,1846.0,1
1,4548,1953,5.3,96500.0,836.0,0
1,4123,1570,3.1,100458.0,620.0,1
0,5677,1976,4.6,93776.0,1213.0,0
1,8018,2966,8.9,93425.0,1893.0,1
1,2087,845,5.1,77552.0,512.0,1
1,5686,2094,11.0,79199.0,1252.0,1
1,5010,1826,16.0,55101.0,2037.0,1
1,3975,1425,7.1,78315.0,857.0,1
1,3221,1251,32.1,42227.0,1759.0,1
1,3820,1477,33.3,39643.0,2539.0,1
0,3621,1360,23.0,65250.0,1213.0,0
0,6267,2300,6.7,78534.0,1344.0,0
0,6581,2578,12.9,57143.0,2302.0,0
0,5902,2207,6.9,65507.0,1523.0,0
0,4027,1494,13.9,71786.0,1096.0,0
1,9111,3882,8.0,78032.0,2099.0,1
0,3984,1505,7.2,85563.0,776.0,0
1,7695,2974,15.1,72024.0,1442.0,1
0,2394,910,14.7,53102.0,926.0,0
1,7512,2884,30.6,50027.0,3020.0,1
1,4802,1778,26.9,48619.0,2409.0,1
1,2978,1153,23.3,63750.0,1167.0,1
0,2957,1231,26.8,34559.0,1520.0,0
1,2337,892,15.9,53250.0,1164.0,1
0,4408,1681,13.2,66397.0,1394.0,0
1,6387,2730,10.2,72282.0,2279.0,1
0,4146,1656,16.7,61311.0,1175.0,0
1,3024,1203,18.8,52973.0,929.0,1
0,4160,1065,10.8,64271.0,772.0,1
0,3829,1472,12.1,64963.0,1147.0,0
1,2611,959,4.8,77946.0,430.0,1
1,7947,2907,3.8,73403.0,1001.0,1
1,3737,1477,13.1,72583.0,1075.0,1
1,3077,1253,13.8,42264.0,995.0,1
0,3592,1347,17.3,52794.0,1295.0,0
1,4454,1782,24.9,44883.0,2303.0,1
1,2973,1327,19.9,43357.0,1481.0,1
1,3537,1423,19.8,67586.0,1465.0,1
1,5593,2030,4.2,174583.0,569.0,1
0,2131,873,1.9,85761.0,394.0,0
1,2759,1346,7.9,102250.0,437.0,0
1,4734,2427,7.6,92138.0,765.0,0
1,4277,1644,2.0,171250.0,483.0,0
1,6671,2899,1.2,106813.0,999.0,1
1,4831,2144,8.8,70208.0,1200.0,1
1,4746,2073,13.6,53250.0,2811.0,0
